Form Type,Company Name,CIK,Date Filed,File Name
10-Q,1 800 FLOWERS COM INC,1084869,11/6/2015,edgar/data/1084869/0001437749-15-020024.txt
10-Q,1347 Capital Corp,1606163,11/12/2015,edgar/data/1606163/0001144204-15-064765.txt
10-Q,"1347 Property Insurance Holdings, Inc.",1591890,11/12/2015,edgar/data/1591890/0001607062-15-000484.txt
10-Q,1847 Holdings LLC,1599407,11/23/2015,edgar/data/1599407/0001477932-15-007315.txt
10-Q,1PM Industries,859747,10/13/2015,edgar/data/859747/0001477932-15-006328.txt
10-Q,1ST CONSTITUTION BANCORP,1141807,11/16/2015,edgar/data/1141807/0001141807-15-000004.txt
10-Q,1ST SOURCE CORP,34782,10/22/2015,edgar/data/34782/0000034782-15-000043.txt
10-Q,"1st Century Bancshares, Inc.",1420525,11/5/2015,edgar/data/1420525/0001437749-15-019902.txt
10-Q,1st FRANKLIN FINANCIAL CORP,38723,11/13/2015,edgar/data/38723/0001376474-15-000448.txt
10-Q,"2050 MOTORS, INC.",867028,11/16/2015,edgar/data/867028/0001493152-15-005466.txt
10-Q,"22nd Century Group, Inc.",1347858,11/9/2015,edgar/data/1347858/0001144204-15-063520.txt
10-Q,24HOLDINGS INC,1025315,11/2/2015,edgar/data/1025315/0001144204-15-062188.txt
10-Q,"2U, Inc.",1459417,10/26/2015,edgar/data/1459417/0001104659-15-072735.txt
10-Q,"3D MAKERJET, INC.",1458023,12/18/2015,edgar/data/1458023/0001078782-15-002054.txt
10-Q,3D SYSTEMS CORP,910638,11/4/2015,edgar/data/910638/0000910638-15-000014.txt
10-Q,3D Total Solutions Inc.,1595326,11/16/2015,edgar/data/1595326/0001144204-15-066089.txt
10-Q,3DICON CORP,1375195,11/16/2015,edgar/data/1375195/0001144204-15-065745.txt
10-Q,3M CO,66740,10/29/2015,edgar/data/66740/0001558370-15-002024.txt
10-Q,"3PEA INTERNATIONAL, INC.",1496443,11/16/2015,edgar/data/1496443/0001019687-15-004144.txt
10-Q,3Power Energy Group Inc.,1221554,11/18/2015,edgar/data/1221554/0001144204-15-066610.txt
10-Q,4Licensing Corp,58592,11/13/2015,edgar/data/58592/0001140361-15-041166.txt
