Form Type,Company Name,CIK,Date Filed,File Name
10-Q,1 800 FLOWERS COM INC,1084869,5/11/2018,edgar/data/1084869/0001437749-18-009561.txt
10-Q,12 Retech Corp,1627611,5/14/2018,edgar/data/1627611/0001493152-18-006783.txt
10-Q,"1347 Property Insurance Holdings, Inc.",1591890,5/14/2018,edgar/data/1591890/0001493152-18-006714.txt
10-Q,1847 Holdings LLC,1599407,5/21/2018,edgar/data/1599407/0001477932-18-002636.txt
10-Q,1ST CONSTITUTION BANCORP,1141807,5/8/2018,edgar/data/1141807/0001141807-18-000010.txt
10-Q,1ST SOURCE CORP,34782,4/19/2018,edgar/data/34782/0000034782-18-000045.txt
10-Q,1st FRANKLIN FINANCIAL CORP,38723,5/14/2018,edgar/data/38723/0001140705-18-000116.txt
10-Q,"22nd Century Group, Inc.",1347858,5/3/2018,edgar/data/1347858/0001144204-18-025088.txt
10-Q,"2U, Inc.",1459417,5/3/2018,edgar/data/1459417/0001104659-18-030256.txt
10-Q,3D SYSTEMS CORP,910638,5/2/2018,edgar/data/910638/0000910638-18-000011.txt
10-Q,3M CO,66740,5/8/2018,edgar/data/66740/0001558370-18-004248.txt
10-Q,"3PEA INTERNATIONAL, INC.",1496443,5/14/2018,edgar/data/1496443/0001683168-18-001295.txt
10-Q,"A-Mark Precious Metals, Inc.",1591588,5/11/2018,edgar/data/1591588/0001591588-18-000016.txt
10-Q,A. H. Belo Corp,1413898,5/2/2018,edgar/data/1413898/0001413898-18-000029.txt
10-Q,"AAC Holdings, Inc.",1606180,5/9/2018,edgar/data/1606180/0001564590-18-012374.txt
10-Q,AAON INC,824142,5/3/2018,edgar/data/824142/0000824142-18-000041.txt
10-Q,AARON'S INC,706688,4/26/2018,edgar/data/706688/0000706688-18-000081.txt
10-Q,AB INTERNATIONAL GROUP CORP.,1605331,4/16/2018,edgar/data/1605331/0001640334-18-000733.txt
10-Q,AB Private Credit Investors Corp,1634452,5/15/2018,edgar/data/1634452/0001193125-18-164024.txt
10-Q,ABBOTT LABORATORIES,1800,5/2/2018,edgar/data/1800/0001104659-18-029831.txt
10-Q,"ABCO Energy, Inc.",1300938,5/21/2018,edgar/data/1300938/0001185185-18-000967.txt
10-Q,ABEONA THERAPEUTICS INC.,318306,5/10/2018,edgar/data/318306/0001144204-18-027209.txt
10-Q,ABERCROMBIE & FITCH CO /DE/,1018840,6/8/2018,edgar/data/1018840/0001018840-18-000031.txt
10-Q,ABM INDUSTRIES INC /DE/,771497,6/7/2018,edgar/data/771497/0001628280-18-007703.txt
10-Q,ABRAXAS PETROLEUM CORP,867665,5/10/2018,edgar/data/867665/0000867665-18-000033.txt
10-Q,"ABV CONSULTING, INC.",1607450,5/10/2018,edgar/data/1607450/0001640334-18-000922.txt
10-Q,ACACIA RESEARCH CORP,934549,5/10/2018,edgar/data/934549/0000934549-18-000043.txt
