Form Type,Company Name,CIK,Date Filed,File Name
10-Q,1 800 FLOWERS COM INC,1084869,2/9/2018,edgar/data/1084869/0001437749-18-002143.txt
10-Q,1PM Industries,859747,1/22/2018,edgar/data/859747/0001477932-18-000400.txt
10-Q,"3DX Industries, Inc.",1453122,1/17/2018,edgar/data/1453122/0001594062-18-000009.txt
10-Q,"3DX Industries, Inc.",1453122,1/17/2018,edgar/data/1453122/0001594062-18-000010.txt
10-Q,"3DX Industries, Inc.",1453122,1/17/2018,edgar/data/1453122/0001594062-18-000011.txt
10-Q,"3DX Industries, Inc.",1453122,1/17/2018,edgar/data/1453122/0001594062-18-000013.txt
10-Q,3Power Energy Group Inc.,1221554,3/6/2018,edgar/data/1221554/0001144204-18-012995.txt
10-Q,4M Carbon Fiber Corp.,1635965,2/23/2018,edgar/data/1635965/0001635965-18-000007.txt
10-Q,5V Inc.,1504876,2/20/2018,edgar/data/1504876/0001213900-18-002114.txt
10-Q,8X8 INC /DE/,1023731,2/1/2018,edgar/data/1023731/0001136261-18-000022.txt
10-Q,8point3 Energy Partners LP,1635581,3/28/2018,edgar/data/1635581/0001628280-18-003722.txt
10-Q,"A-Mark Precious Metals, Inc.",1591588,2/9/2018,edgar/data/1591588/0001591588-18-000006.txt
10-Q,AAR CORP,1750,3/21/2018,edgar/data/1750/0001104659-18-019104.txt
10-Q,AB INTERNATIONAL GROUP CORP.,1605331,1/22/2018,edgar/data/1605331/0001640334-18-000154.txt
10-Q,ABAXIS INC,881890,2/9/2018,edgar/data/881890/0001140361-18-006315.txt
10-Q,ABIOMED INC,815094,2/6/2018,edgar/data/815094/0001564590-18-001410.txt
10-Q,ABM INDUSTRIES INC /DE/,771497,3/7/2018,edgar/data/771497/0001628280-18-002860.txt
10-Q,ACCURAY INC,1138723,2/5/2018,edgar/data/1138723/0001104659-18-006339.txt
10-Q,ACETO CORP,2034,2/2/2018,edgar/data/2034/0001144204-18-005329.txt
10-Q,"ACRO BIOMEDICAL CO., LTD.",1622996,2/14/2018,edgar/data/1622996/0001640334-18-000321.txt
10-Q,"ACTIVECARE, INC.",1429896,1/31/2018,edgar/data/1429896/0001096906-18-000055.txt
10-Q,ACTUANT CORP,6955,1/8/2018,edgar/data/6955/0000006955-18-000003.txt
10-Q,ACUITY BRANDS INC,1144215,1/9/2018,edgar/data/1144215/0001144215-18-000006.txt
10-Q,ACXIOM CORP,733269,2/7/2018,edgar/data/733269/0000733269-18-000010.txt
