Form Type,Company Name,CIK,Date Filed,File Name
10-Q,1347 Capital Corp,1606163,8/12/2015,edgar/data/1606163/0001144204-15-048537.txt
10-Q,"1347 Property Insurance Holdings, Inc.",1591890,8/13/2015,edgar/data/1591890/0001607062-15-000354.txt
10-Q,1847 Holdings LLC,1599407,8/19/2015,edgar/data/1599407/0001477932-15-005404.txt
10-Q,1PM Industries,859747,8/13/2015,edgar/data/859747/0001477932-15-005064.txt
10-Q,1ST CONSTITUTION BANCORP,1141807,8/12/2015,edgar/data/1141807/0001628280-15-006519.txt
10-Q,1ST SOURCE CORP,34782,7/23/2015,edgar/data/34782/0000034782-15-000031.txt
10-Q,"1st Century Bancshares, Inc.",1420525,8/6/2015,edgar/data/1420525/0001437749-15-015110.txt
10-Q,1st FRANKLIN FINANCIAL CORP,38723,8/12/2015,edgar/data/38723/0001376474-15-000257.txt
10-Q,"2050 MOTORS, INC.",867028,8/13/2015,edgar/data/867028/0001493152-15-003609.txt
10-Q,"21st Century Oncology Holdings, Inc.",1503518,8/14/2015,edgar/data/1503518/0001104659-15-060073.txt
10-Q,"22nd Century Group, Inc.",1347858,8/4/2015,edgar/data/1347858/0001144204-15-046007.txt
10-Q,24HOLDINGS INC,1025315,8/10/2015,edgar/data/1025315/0001144204-15-047584.txt
10-Q,"2U, Inc.",1459417,8/6/2015,edgar/data/1459417/0001104659-15-057188.txt
10-Q,3D SYSTEMS CORP,910638,8/6/2015,edgar/data/910638/0000910638-15-000011.txt
10-Q,3D Total Solutions Inc.,1595326,8/19/2015,edgar/data/1595326/0001144204-15-050667.txt
10-Q,3DICON CORP,1375195,8/14/2015,edgar/data/1375195/0001144204-15-049783.txt
10-Q,"3DX Industries, Inc.",1453122,9/21/2015,edgar/data/1453122/0001554795-15-000383.txt
10-Q,3M CO,66740,7/30/2015,edgar/data/66740/0001104659-15-054810.txt
10-Q,"3PEA INTERNATIONAL, INC.",1496443,8/10/2015,edgar/data/1496443/0001019687-15-003015.txt
10-Q,3Power Energy Group Inc.,1221554,8/19/2015,edgar/data/1221554/0001144204-15-050529.txt
10-Q,"4Cable TV International, Inc.",1421901,8/19/2015,edgar/data/1421901/0001594062-15-000253.txt
10-Q,4Licensing Corp,58592,8/14/2015,edgar/data/58592/0001140361-15-032321.txt
10-Q,4NET SOFTWARE INC,812149,8/13/2015,edgar/data/812149/0001144204-15-049026.txt
10-Q,"5BARz International, Inc.",1454124,8/19/2015,edgar/data/1454124/0001017386-15-000231.txt
10-Q,5V Inc.,1504876,7/21/2015,edgar/data/1504876/0001213900-15-005297.txt
10-Q,"6D Global Technologies, Inc",1382219,8/14/2015,edgar/data/1382219/0001185185-15-002214.txt
10-Q,"800 Commerce, Inc.",1558465,8/14/2015,edgar/data/1558465/0001554795-15-000339.txt
10-Q,808 RENEWABLE ENERGY CORP,1467913,8/11/2015,edgar/data/1467913/0001079974-15-000517.txt
10-Q,808 RENEWABLE ENERGY CORP,1467913,8/20/2015,edgar/data/1467913/0001079974-15-000589.txt
10-Q,8X8 INC /DE/,1023731,8/3/2015,edgar/data/1023731/0001136261-15-000236.txt
10-Q,8point3 Energy Partners LP,1635581,8/11/2015,edgar/data/1635581/0001564590-15-007025.txt
10-Q,99 CENTS ONLY STORES LLC,1011290,9/11/2015,edgar/data/1011290/0001104659-15-064718.txt
10-Q,A&C United Agriculture Developing Inc.,1539778,8/11/2015,edgar/data/1539778/0001477932-15-004975.txt
10-Q,A. H. Belo Corp,1413898,7/28/2015,edgar/data/1413898/0001413898-15-000024.txt
10-Q,"A10 Networks, Inc.",1580808,8/6/2015,edgar/data/1580808/0001580808-15-000036.txt
10-Q,"AAC Holdings, Inc.",1606180,8/3/2015,edgar/data/1606180/0001564590-15-005942.txt
10-Q,AAON INC,824142,8/6/2015,edgar/data/824142/0000824142-15-000079.txt
10-Q,AAR CORP,1750,9/25/2015,edgar/data/1750/0001104659-15-067241.txt
