Form Type,Company Name,CIK,Date Filed,File Name
10-Q,12 Retech Corp,1627611,8/20/2018,edgar/data/1627611/0001493152-18-012346.txt
10-Q,"1347 Property Insurance Holdings, Inc.",1591890,8/14/2018,edgar/data/1591890/0001493152-18-011788.txt
10-Q,1847 Holdings LLC,1599407,8/17/2018,edgar/data/1599407/0001477932-18-004179.txt
10-Q,1ST CONSTITUTION BANCORP,1141807,8/8/2018,edgar/data/1141807/0001141807-18-000021.txt
10-Q,1ST SOURCE CORP,34782,7/19/2018,edgar/data/34782/0000034782-18-000075.txt
10-Q,1st FRANKLIN FINANCIAL CORP,38723,8/14/2018,edgar/data/38723/0001140705-18-000210.txt
10-Q,"2050 MOTORS, INC.",867028,8/3/2018,edgar/data/867028/0001493152-18-010891.txt
10-Q,"22nd Century Group, Inc.",1347858,8/7/2018,edgar/data/1347858/0001144204-18-042435.txt
10-Q,"2U, Inc.",1459417,8/2/2018,edgar/data/1459417/0001104659-18-049189.txt
10-Q,3D SYSTEMS CORP,910638,8/7/2018,edgar/data/910638/0000910638-18-000021.txt
10-Q,3M CO,66740,7/26/2018,edgar/data/66740/0001558370-18-005773.txt
10-Q,"3PEA INTERNATIONAL, INC.",1496443,8/9/2018,edgar/data/1496443/0001683168-18-002224.txt
10-Q,4M Carbon Fiber Corp.,1635965,9/13/2018,edgar/data/1635965/0001635965-18-000036.txt
10-Q,4M Carbon Fiber Corp.,1635965,9/26/2018,edgar/data/1635965/0001635965-18-000038.txt
10-Q,8X8 INC /DE/,1023731,8/3/2018,edgar/data/1023731/0001136261-18-000201.txt
10-Q,A. H. Belo Corp,1413898,8/8/2018,edgar/data/1413898/0001413898-18-000043.txt
10-Q,"A10 Networks, Inc.",1580808,9/24/2018,edgar/data/1580808/0001580808-18-000033.txt
10-Q,"AAC Holdings, Inc.",1606180,8/3/2018,edgar/data/1606180/0001564590-18-019182.txt
10-Q,AAON INC,824142,8/2/2018,edgar/data/824142/0000824142-18-000081.txt
10-Q,AAR CORP,1750,9/27/2018,edgar/data/1750/0001104659-18-058911.txt
10-Q,AARON'S INC,706688,7/26/2018,edgar/data/706688/0000706688-18-000117.txt
10-Q,AB INTERNATIONAL GROUP CORP.,1605331,7/23/2018,edgar/data/1605331/0001640334-18-001453.txt
10-Q,AB Private Credit Investors Corp,1634452,8/14/2018,edgar/data/1634452/0001193125-18-248394.txt
10-Q,ABBOTT LABORATORIES,1800,8/1/2018,edgar/data/1800/0001104659-18-048736.txt
