Form Type,Company Name,CIK,Date Filed,File Name
10-Q,"1347 Property Insurance Holdings, Inc.",1591890,8/11/2016,edgar/data/1591890/0001387131-16-006478.txt
10-Q,1847 Holdings LLC,1599407,8/22/2016,edgar/data/1599407/0001477932-16-012170.txt
10-Q,1PM Industries,859747,7/20/2016,edgar/data/859747/0001477932-16-011462.txt
10-Q,1ST CONSTITUTION BANCORP,1141807,8/10/2016,edgar/data/1141807/0001141807-16-000021.txt
10-Q,1ST SOURCE CORP,34782,7/21/2016,edgar/data/34782/0000034782-16-000158.txt
10-Q,1st FRANKLIN FINANCIAL CORP,38723,8/15/2016,edgar/data/38723/0001376474-16-000832.txt
10-Q,"2050 MOTORS, INC.",867028,8/19/2016,edgar/data/867028/0001493152-16-012680.txt
10-Q,"21st Century Oncology Holdings, Inc.",1503518,9/20/2016,edgar/data/1503518/0001104659-16-145688.txt
10-Q,"21st Century Oncology Holdings, Inc.",1503518,9/20/2016,edgar/data/1503518/0001104659-16-145690.txt
10-Q,"22nd Century Group, Inc.",1347858,8/9/2016,edgar/data/1347858/0001144204-16-117680.txt
10-Q,"2U, Inc.",1459417,8/4/2016,edgar/data/1459417/0001104659-16-137033.txt
10-Q,3D SYSTEMS CORP,910638,8/3/2016,edgar/data/910638/0000910638-16-000025.txt
10-Q,3DICON CORP,1375195,8/15/2016,edgar/data/1375195/0001144204-16-119345.txt
10-Q,3M CO,66740,8/2/2016,edgar/data/66740/0001558370-16-007105.txt
10-Q,"3PEA INTERNATIONAL, INC.",1496443,8/9/2016,edgar/data/1496443/0001019687-16-007121.txt
10-Q,3Power Energy Group Inc.,1221554,8/22/2016,edgar/data/1221554/0001144204-16-120477.txt
10-Q,"5BARz International, Inc.",1454124,7/13/2016,edgar/data/1454124/0001017386-16-000478.txt
10-Q,5V Inc.,1504876,8/22/2016,edgar/data/1504876/0001213900-16-016323.txt
10-Q,8X8 INC /DE/,1023731,7/29/2016,edgar/data/1023731/0001136261-16-000571.txt
10-Q,99 CENTS ONLY STORES LLC,1011290,9/9/2016,edgar/data/1011290/0001104659-16-143950.txt
10-Q,A&C United Agriculture Developing Inc.,1539778,8/10/2016,edgar/data/1539778/0001477932-16-011718.txt
10-Q,A. H. Belo Corp,1413898,8/2/2016,edgar/data/1413898/0001413898-16-000052.txt
10-Q,"A10 Networks, Inc.",1580808,8/5/2016,edgar/data/1580808/0001580808-16-000104.txt
10-Q,"AAC Holdings, Inc.",1606180,8/5/2016,edgar/data/1606180/0001564590-16-022835.txt
10-Q,AAON INC,824142,8/4/2016,edgar/data/824142/0000824142-16-000197.txt
10-Q,AAR CORP,1750,9/23/2016,edgar/data/1750/0001104659-16-146237.txt
10-Q,AARON'S INC,706688,8/4/2016,edgar/data/706688/0000706688-16-000318.txt
10-Q,AB INTERNATIONAL GROUP CORP.,1605331,7/15/2016,edgar/data/1605331/0001640334-16-001414.txt
10-Q,ABAXIS INC,881890,8/9/2016,edgar/data/881890/0001140361-16-075438.txt
10-Q,ABBOTT LABORATORIES,1800,8/3/2016,edgar/data/1800/0001104659-16-136572.txt
10-Q,"ABCO Energy, Inc.",1300938,8/22/2016,edgar/data/1300938/0001185185-16-005294.txt
10-Q,ABEONA THERAPEUTICS INC.,318306,8/15/2016,edgar/data/318306/0001144204-16-119452.txt
10-Q,ABERCROMBIE & FITCH CO /DE/,1018840,9/6/2016,edgar/data/1018840/0001018840-16-000115.txt
10-Q,ABIOMED INC,815094,8/3/2016,edgar/data/815094/0001564590-16-022298.txt
10-Q,ABM INDUSTRIES INC /DE/,771497,9/8/2016,edgar/data/771497/0001628280-16-019455.txt
10-Q,ABRAXAS PETROLEUM CORP,867665,8/9/2016,edgar/data/867665/0000867665-16-000195.txt
10-Q,"ABV CONSULTING, INC.",1607450,8/15/2016,edgar/data/1607450/0001213900-16-015917.txt
10-Q,ACACIA RESEARCH CORP,934549,8/9/2016,edgar/data/934549/0000934549-16-000146.txt
10-Q,ACADIA PHARMACEUTICALS INC,1070494,8/4/2016,edgar/data/1070494/0001564590-16-022733.txt
10-Q,ACADIA REALTY TRUST,899629,7/27/2016,edgar/data/899629/0000899629-16-000061.txt
10-Q,"ACCELERA INNOVATIONS, INC.",1444144,8/18/2016,edgar/data/1444144/0001493152-16-012643.txt
10-Q,"ACCELERA INNOVATIONS, INC.",1444144,8/19/2016,edgar/data/1444144/0001493152-16-012701.txt
10-Q,ACCELERATED ACQUISITIONS XIX,1542624,7/19/2016,edgar/data/1542624/0001079974-16-001427.txt
10-Q,ACCELERATED ACQUISITIONS XIX,1542624,7/19/2016,edgar/data/1542624/0001079974-16-001428.txt
10-Q,ACCELERATED ACQUISITIONS XIX,1542624,7/19/2016,edgar/data/1542624/0001079974-16-001429.txt
10-Q,ACCELERON PHARMA INC,1280600,8/4/2016,edgar/data/1280600/0001280600-16-000102.txt
10-Q,ACCESS NATIONAL CORP,1176316,8/9/2016,edgar/data/1176316/0001144204-16-117753.txt
10-Q,ACCO BRANDS Corp,712034,8/2/2016,edgar/data/712034/0000712034-16-000114.txt
10-Q,ACCURIDE CORP,817979,7/26/2016,edgar/data/817979/0000817979-16-000079.txt
10-Q,ACELRX PHARMACEUTICALS INC,1427925,7/29/2016,edgar/data/1427925/0001437749-16-035895.txt
10-Q,ACHILLION PHARMACEUTICALS INC,1070336,8/4/2016,edgar/data/1070336/0001193125-16-671818.txt
10-Q,"ACI WORLDWIDE, INC.",935036,7/28/2016,edgar/data/935036/0001193125-16-661756.txt
10-Q,ACME UNITED CORP,2098,8/15/2016,edgar/data/2098/0001026608-16-000118.txt
10-Q,ACNB CORP,715579,7/29/2016,edgar/data/715579/0001104659-16-135235.txt
10-Q,ACORDA THERAPEUTICS INC,1008848,8/4/2016,edgar/data/1008848/0001008848-16-000119.txt
10-Q,"ACORN ENERGY, INC.",880984,8/15/2016,edgar/data/880984/0001493152-16-012338.txt
10-Q,ACQUIRED SALES CORP,1391135,8/12/2016,edgar/data/1391135/0001445866-16-002482.txt
10-Q,ACRE REALTY INVESTORS INC,1011109,8/10/2016,edgar/data/1011109/0001552781-16-001908.txt
10-Q,ACTIVE POWER INC,1044435,7/26/2016,edgar/data/1044435/0001044435-16-000133.txt
10-Q,"ACTIVECARE, INC.",1429896,8/18/2016,edgar/data/1429896/0001096906-16-001864.txt
10-Q,ACTUANT CORP,6955,7/8/2016,edgar/data/6955/0000006955-16-000077.txt
10-Q,ACUCELA INC.,1400482,8/8/2016,edgar/data/1400482/0001400482-16-000211.txt
10-Q,"ACURA PHARMACEUTICALS, INC",786947,8/8/2016,edgar/data/786947/0001144204-16-117260.txt
10-Q,ACXIOM CORP,733269,8/5/2016,edgar/data/733269/0000733269-16-000077.txt
10-Q,ADAMANT DRI PROCESSING & MINERALS GROUP,1171008,8/15/2016,edgar/data/1171008/0001193805-16-003730.txt
10-Q,"ADAMS RESOURCES & ENERGY, INC.",2178,8/9/2016,edgar/data/2178/0000002178-16-000090.txt
10-Q,"ADCARE HEALTH SYSTEMS, INC",1004724,8/15/2016,edgar/data/1004724/0001004724-16-000208.txt
10-Q,ADDENTAX GROUP CORP.,1650101,8/2/2016,edgar/data/1650101/0001650101-16-000011.txt
10-Q,ADDVANTAGE TECHNOLOGIES GROUP INC,874292,8/9/2016,edgar/data/874292/0001445260-16-000086.txt
10-Q,ADESTO TECHNOLOGIES Corp,1395848,8/15/2016,edgar/data/1395848/0001564590-16-024310.txt
10-Q,"ADM TRONICS UNLIMITED, INC.",849401,8/22/2016,edgar/data/849401/0001437749-16-037918.txt
10-Q,"ADMA BIOLOGICS, INC.",1368514,8/12/2016,edgar/data/1368514/0001193805-16-003725.txt
10-Q,ADOBE SYSTEMS INC,796343,9/27/2016,edgar/data/796343/0000796343-16-000395.txt
10-Q,ADTRAN INC,926282,8/5/2016,edgar/data/926282/0001564590-16-022906.txt
10-Q,"ADURO BIOTECH, INC.",1435049,8/3/2016,edgar/data/1435049/0001564590-16-022375.txt
10-Q,ADVANCE AUTO PARTS INC,1158449,8/25/2016,edgar/data/1158449/0001158449-16-000474.txt
10-Q,ADVANCED CREDIT TECHNOLOGIES INC,1437517,8/11/2016,edgar/data/1437517/0001010549-16-000676.txt
10-Q,ADVANCED ENERGY INDUSTRIES INC,927003,8/4/2016,edgar/data/927003/0000927003-16-000129.txt
10-Q,ADVANCED ENVIRONMENTAL RECYCLING TECHNOLOGIES INC,849706,8/11/2016,edgar/data/849706/0001654954-16-001434.txt
10-Q,ADVANCED MEDICAL ISOTOPE Corp,1449349,8/18/2016,edgar/data/1449349/0001493152-16-012654.txt
10-Q,ADVANCED MICRO DEVICES INC,2488,7/26/2016,edgar/data/2488/0000002488-16-000213.txt
10-Q,ADVISORY BOARD CO,1157377,8/9/2016,edgar/data/1157377/0001157377-16-000023.txt
10-Q,AECOM,868857,8/10/2016,edgar/data/868857/0001104659-16-138644.txt
10-Q,AEI INCOME & GROWTH FUND 24 LLC,1130758,8/12/2016,edgar/data/1130758/0001130758-16-000011.txt
10-Q,AEI INCOME & GROWTH FUND 25 LLC,1185198,8/12/2016,edgar/data/1185198/0001130758-16-000012.txt
10-Q,AEI INCOME & GROWTH FUND XXI LTD PARTNERSHIP,931755,8/12/2016,edgar/data/931755/0001130758-16-000008.txt
10-Q,AEI INCOME & GROWTH FUND XXII LTD PARTNERSHIP,1023458,8/12/2016,edgar/data/1023458/0001130758-16-000010.txt
10-Q,AEI Income & Growth Fund 26 LLC,1326321,8/12/2016,edgar/data/1326321/0001130758-16-000013.txt
10-Q,AEI NET LEASE INCOME & GROWTH FUND XX LIMITED PARTNERSHIP,894245,8/12/2016,edgar/data/894245/0001130758-16-000009.txt
10-Q,"AEMETIS, INC",738214,8/11/2016,edgar/data/738214/0001654954-16-001373.txt
10-Q,"AEOLUS PHARMACEUTICALS, INC.",1261734,8/15/2016,edgar/data/1261734/0001102624-16-003292.txt
10-Q,AEP INDUSTRIES INC,785787,9/9/2016,edgar/data/785787/0001193125-16-706267.txt
10-Q,AERIE PHARMACEUTICALS INC,1337553,8/4/2016,edgar/data/1337553/0001628280-16-018445.txt
10-Q,AEROCENTURY CORP,1036848,8/11/2016,edgar/data/1036848/0001036848-16-000106.txt
10-Q,"AEROHIVE NETWORKS, INC",1372414,8/4/2016,edgar/data/1372414/0001372414-16-000090.txt
10-Q,"AEROJET ROCKETDYNE HOLDINGS, INC.",40888,8/9/2016,edgar/data/40888/0000040888-16-000042.txt
10-Q,AEROPOSTALE INC,1168213,7/13/2016,edgar/data/1168213/0001168213-16-000119.txt
10-Q,AES CORP,874761,8/5/2016,edgar/data/874761/0000874761-16-000112.txt
10-Q,AETHLON MEDICAL INC,882291,8/11/2016,edgar/data/882291/0001019687-16-007166.txt
10-Q,AETNA INC /PA/,1122304,8/2/2016,edgar/data/1122304/0001122304-16-000277.txt
10-Q,AF OCEAN INVESTMENT MANAGEMENT Co,1501489,8/9/2016,edgar/data/1501489/0001640334-16-001500.txt
10-Q,"AFFILIATED MANAGERS GROUP, INC.",1004434,8/5/2016,edgar/data/1004434/0001004434-16-000047.txt
10-Q,"AFH ACQUISITION VI, INC.",1420034,9/15/2016,edgar/data/1420034/0001607062-16-000993.txt
10-Q,"AFH ACQUISITION VII, INC.",1420035,9/15/2016,edgar/data/1420035/0001607062-16-000990.txt
10-Q,"AFH ACQUISITION XI, INC.",1419553,9/15/2016,edgar/data/1419553/0001607062-16-000992.txt
10-Q,"AFH Acquisition IX, Inc.",1419556,9/15/2016,edgar/data/1419556/0001607062-16-000988.txt
10-Q,"AFH Acquisition VIII, Inc.",1419560,9/15/2016,edgar/data/1419560/0001607062-16-000991.txt
10-Q,AFLAC INC,4977,8/5/2016,edgar/data/4977/0000004977-16-000348.txt
