Form Type,Company Name,CIK,Date Filed,File Name
10-Q,1 800 FLOWERS COM INC,1084869,2/6/2015,edgar/data/1084869/0001437749-15-002005.txt
10-Q,"21st Century Oncology Holdings, Inc.",1503518,2/5/2015,edgar/data/1503518/0001104659-15-006969.txt
10-Q,"30DC, INC.",1118974,2/12/2015,edgar/data/1118974/0001065949-15-000039.txt
10-Q,"3D MAKERJET, INC.",1458023,3/23/2015,edgar/data/1458023/0001078782-15-000411.txt
10-Q,"3DX Industries, Inc.",1453122,3/23/2015,edgar/data/1453122/0001554795-15-000101.txt
10-Q,3Power Energy Group Inc.,1221554,2/13/2015,edgar/data/1221554/0001144204-15-008748.txt
10-Q,4NET SOFTWARE INC,812149,2/12/2015,edgar/data/812149/0001144204-15-008490.txt
10-Q,5V Inc.,1504876,2/9/2015,edgar/data/1504876/0001213900-15-000801.txt
10-Q,8X8 INC /DE/,1023731,1/26/2015,edgar/data/1023731/0001136261-15-000022.txt
10-Q,A&C United Agriculture Developing Inc.,1539778,2/4/2015,edgar/data/1539778/0001477932-15-000979.txt
10-Q,"A-Mark Precious Metals, Inc.",1591588,2/10/2015,edgar/data/1591588/0001591588-15-000004.txt
10-Q,AAR CORP,1750,3/31/2015,edgar/data/1750/0001104659-15-024608.txt
10-Q,"ABAKAN, INC",1400000,1/14/2015,edgar/data/1400000/0001211524-15-000004.txt
10-Q,ABAXIS INC,881890,2/9/2015,edgar/data/881890/0001140361-15-004880.txt
10-Q,ABIOMED INC,815094,1/30/2015,edgar/data/815094/0001193125-15-027514.txt
10-Q,ABM INDUSTRIES INC /DE/,771497,3/4/2015,edgar/data/771497/0001628280-15-001452.txt
10-Q,ACCELERATED ACQUISITIONS XIX,1542624,2/23/2015,edgar/data/1542624/0001079974-15-000126.txt
10-Q,ACCENTURE SCA,1143908,3/26/2015,edgar/data/1143908/0001143908-15-000006.txt
10-Q,ACCURAY INC,1138723,2/6/2015,edgar/data/1138723/0001104659-15-007436.txt
10-Q,ACETO CORP,2034,2/6/2015,edgar/data/2034/0001571049-15-000848.txt
10-Q,ACRE REALTY INVESTORS INC,1011109,2/17/2015,edgar/data/1011109/0001552781-15-000241.txt
10-Q,"ACTIVECARE, INC.",1429896,2/23/2015,edgar/data/1429896/0001096906-15-000216.txt
10-Q,ACTUANT CORP,6955,1/9/2015,edgar/data/6955/0000006955-15-000005.txt
10-Q,ACUITY BRANDS INC,1144215,1/9/2015,edgar/data/1144215/0001144215-15-000004.txt
10-Q,ACXIOM CORP,733269,2/6/2015,edgar/data/733269/0000733269-15-000006.txt
10-Q,ADDVANTAGE TECHNOLOGIES GROUP INC,874292,2/10/2015,edgar/data/874292/0001445260-15-000008.txt
10-Q,ADEPT TECHNOLOGY INC,865415,2/4/2015,edgar/data/865415/0001193125-15-033647.txt
10-Q,ADM TRONICS UNLIMITED INC/DE,849401,2/13/2015,edgar/data/849401/0001437749-15-002676.txt
10-Q,ADMIRAL FINANCIAL CORP,828530,2/13/2015,edgar/data/828530/0001553350-15-000137.txt
10-Q,ADOBE SYSTEMS INC,796343,3/25/2015,edgar/data/796343/0000796343-15-000084.txt
10-Q,ADT Corp,1546640,1/28/2015,edgar/data/1546640/0001546640-15-000010.txt
10-Q,ADVANCED CREDIT TECHNOLOGIES INC,1437517,1/21/2015,edgar/data/1437517/0001010549-15-000031.txt
10-Q,ADVANCED CREDIT TECHNOLOGIES INC,1437517,1/21/2015,edgar/data/1437517/0001010549-15-000033.txt
10-Q,ADVANCED CREDIT TECHNOLOGIES INC,1437517,1/22/2015,edgar/data/1437517/0001010549-15-000035.txt
10-Q,"ADVANCED DRAINAGE SYSTEMS, INC.",1604028,2/9/2015,edgar/data/1604028/0001193125-15-039030.txt
10-Q,ADVANCED OXYGEN TECHNOLOGIES INC,352991,2/9/2015,edgar/data/352991/0000352991-15-000002.txt
10-Q,ADVANCED PHOTONIX INC,869986,2/9/2015,edgar/data/869986/0001437749-15-002073.txt
10-Q,AECOM,868857,2/11/2015,edgar/data/868857/0001104659-15-008334.txt
10-Q,AEHR TEST SYSTEMS,1040470,1/13/2015,edgar/data/1040470/0001354488-15-000186.txt
10-Q,"AEOLUS PHARMACEUTICALS, INC.",1261734,2/13/2015,edgar/data/1261734/0001102624-15-000227.txt
10-Q,AEP INDUSTRIES INC,785787,3/12/2015,edgar/data/785787/0001193125-15-088990.txt
10-Q,AETHLON MEDICAL INC,882291,2/10/2015,edgar/data/882291/0001019687-15-000519.txt
10-Q,"AFH ACQUISITION V, INC.",1420033,3/17/2015,edgar/data/1420033/0001607062-15-000117.txt
10-Q,"AFH ACQUISITION VI, INC.",1420034,3/17/2015,edgar/data/1420034/0001607062-15-000118.txt
10-Q,"AFH ACQUISITION VII, INC.",1420035,3/17/2015,edgar/data/1420035/0001607062-15-000119.txt
10-Q,"AFH ACQUISITION XI, INC.",1419553,3/17/2015,edgar/data/1419553/0001607062-15-000116.txt
10-Q,"AFH ACQUISITION XII, INC.",1419552,3/17/2015,edgar/data/1419552/0001607062-15-000120.txt
10-Q,"AFH Acquisition IX, Inc.",1419556,3/17/2015,edgar/data/1419556/0001607062-15-000115.txt
10-Q,"AFH Acquisition VIII, Inc.",1419560,3/17/2015,edgar/data/1419560/0001607062-15-000113.txt
10-Q,AGILENT TECHNOLOGIES INC,1090872,3/10/2015,edgar/data/1090872/0001628280-15-001631.txt
10-Q,AGILYSYS INC,78749,2/5/2015,edgar/data/78749/0000078749-15-000007.txt
10-Q,AIR PRODUCTS & CHEMICALS INC /DE/,2969,1/30/2015,edgar/data/2969/0001193125-15-026713.txt
10-Q,AIR T INC,353184,2/3/2015,edgar/data/353184/0001437749-15-001673.txt
10-Q,AIRGAS INC,804212,2/6/2015,edgar/data/804212/0000804212-15-000002.txt
10-Q,AIRWARE LABS CORP.,1500123,2/20/2015,edgar/data/1500123/0001554795-15-000071.txt
10-Q,ALABAMA GAS CORP,3146,2/4/2015,edgar/data/3146/0001126956-15-000013.txt
10-Q,ALADDIN INTERNATIONAL INC /MN/,921560,2/23/2015,edgar/data/921560/0001553350-15-000165.txt
10-Q,ALANCO TECHNOLOGIES INC,98618,2/13/2015,edgar/data/98618/0000098618-15-000002.txt
10-Q,ALICO INC,3545,2/9/2015,edgar/data/3545/0000891092-15-000998.txt
10-Q,ALKALINE WATER Co INC,1532390,2/17/2015,edgar/data/1532390/0001062993-15-000910.txt
10-Q,"ALLIANCE ONE INTERNATIONAL, INC.",939930,2/9/2015,edgar/data/939930/0000939930-15-000015.txt
10-Q,ALLIANT TECHSYSTEMS INC,866121,2/5/2015,edgar/data/866121/0000866121-15-000004.txt
10-Q,ALLIED HEALTHCARE PRODUCTS INC,874710,2/13/2015,edgar/data/874710/0001144204-15-009056.txt
10-Q,ALPHA & OMEGA SEMICONDUCTOR Ltd,1387467,2/6/2015,edgar/data/1387467/0001387467-15-000005.txt
10-Q,ALPHA NETWORK ALLIANCE VENTURES INC.,1491829,1/6/2015,edgar/data/1491829/0001171520-15-000006.txt
10-Q,ALTAIR INTERNATIONAL CORP.,1570937,2/19/2015,edgar/data/1570937/0001554795-15-000065.txt
10-Q,ALTEROLA BIOTECH INC.,1442999,2/23/2015,edgar/data/1442999/0001255294-15-000091.txt
10-Q,ALTEX INDUSTRIES INC,775057,1/30/2015,edgar/data/775057/0001096906-15-000117.txt
10-Q,"AMAZONICA, CORP.",1518548,3/23/2015,edgar/data/1518548/0001477932-15-001876.txt
10-Q,"AMBICOM HOLDINGS, INC",1444310,3/17/2015,edgar/data/1444310/0001144204-15-016729.txt
10-Q,AMCON DISTRIBUTING CO,928465,1/20/2015,edgar/data/928465/0001104659-15-003061.txt
10-Q,AMERCO /NV/,4457,2/4/2015,edgar/data/4457/0000004457-15-000004.txt
10-Q,AMERICAN COMMERCE SOLUTIONS Inc,949982,1/14/2015,edgar/data/949982/0001477932-15-000376.txt
10-Q,AMERICAN CRYOSTEM Corp,1468679,2/23/2015,edgar/data/1468679/0001019056-15-000257.txt
10-Q,AMERICAN ENERGY GROUP LTD,843212,2/23/2015,edgar/data/843212/0001477932-15-001329.txt
10-Q,AMERICAN GENE ENGINEER CORP,1600784,3/24/2015,edgar/data/1600784/0001214659-15-002490.txt
10-Q,AMERICAN GRAPHITE TECHNOLOGIES INC.,1497316,2/23/2015,edgar/data/1497316/0001594062-15-000066.txt
10-Q,AMERICAN GREETINGS CORP,5133,1/9/2015,edgar/data/5133/0001193125-15-006237.txt
10-Q,AMERICAN HONDA FINANCE CORP,864270,2/12/2015,edgar/data/864270/0001564590-15-000636.txt
10-Q,AMERICAN INTERNATIONAL VENTURES INC /DE/,5656,1/30/2015,edgar/data/5656/0001052918-15-000037.txt
10-Q,AMERICAN MEDIA INC,880555,2/23/2015,edgar/data/880555/0000880555-15-000011.txt
10-Q,AMERICAN POWER GROUP Corp,932699,2/17/2015,edgar/data/932699/0000932699-15-000004.txt
10-Q,"AMERICAN SCIENCE & ENGINEERING, INC.",5768,2/5/2015,edgar/data/5768/0001104659-15-007083.txt
10-Q,AMERICAN SOFTWARE INC,713425,3/6/2015,edgar/data/713425/0001193125-15-080349.txt
10-Q,AMERICAN SOIL TECHNOLOGIES INC,1031896,2/13/2015,edgar/data/1031896/0001165527-15-000058.txt
10-Q,AMERICAN SUPERCONDUCTOR CORP /DE/,880807,2/5/2015,edgar/data/880807/0001564590-15-000491.txt
10-Q,AMERICAN TAX CREDIT PROPERTIES II L P,842314,2/13/2015,edgar/data/842314/0001096906-15-000185.txt
10-Q,AMERICAN TAX CREDIT PROPERTIES III LP,856135,2/9/2015,edgar/data/856135/0001096906-15-000140.txt
10-Q,AMERICAN TAX CREDIT TRUST SERIES I,897315,2/12/2015,edgar/data/897315/0001096906-15-000152.txt
10-Q,AMERICAN WOODMARK CORP,794619,2/27/2015,edgar/data/794619/0000794619-15-000024.txt
10-Q,AMERICAS CARMART INC,799850,3/3/2015,edgar/data/799850/0001171843-15-001226.txt
10-Q,AMERIGAS PARTNERS LP,932628,2/6/2015,edgar/data/932628/0000932628-15-000006.txt
10-Q,AMERISOURCEBERGEN CORP,1140859,2/6/2015,edgar/data/1140859/0001104659-15-007320.txt
10-Q,AMERITYRE CORP,945828,2/13/2015,edgar/data/945828/0001185185-15-000297.txt
10-Q,AMREP CORP.,6207,3/17/2015,edgar/data/6207/0001144204-15-016744.txt
10-Q,AMTECH SYSTEMS INC,720500,2/5/2015,edgar/data/720500/0000720500-15-000010.txt
10-Q,ANALOG DEVICES INC,6281,2/17/2015,edgar/data/6281/0000006281-15-000005.txt
10-Q,ANALOGIC CORP,6284,3/11/2015,edgar/data/6284/0001193125-15-087122.txt
10-Q,ANAVEX LIFE SCIENCES CORP.,1314052,2/17/2015,edgar/data/1314052/0001062993-15-000906.txt
10-Q,ANGIODYNAMICS INC,1275187,1/9/2015,edgar/data/1275187/0001275187-15-000009.txt
10-Q,"AOXING PHARMACEUTICAL COMPANY, INC.",1060426,2/17/2015,edgar/data/1060426/0001096906-15-000192.txt
10-Q,"APOGEE ENTERPRISES, INC.",6845,1/8/2015,edgar/data/6845/0000006845-15-000003.txt
10-Q,APOLLO EDUCATION GROUP INC,929887,1/8/2015,edgar/data/929887/0000929887-15-000011.txt
10-Q,APOLLO EDUCATION GROUP INC,929887,3/25/2015,edgar/data/929887/0000929887-15-000029.txt
10-Q,APOLLO INVESTMENT CORP,1278752,2/5/2015,edgar/data/1278752/0001278752-15-000003.txt
