Form Type,Company Name,CIK,Date Filed,File Name
10-Q,1 800 FLOWERS COM INC,1084869,2/5/2016,edgar/data/1084869/0001437749-16-024828.txt
10-Q,1PM Industries,859747,1/12/2016,edgar/data/859747/0001477932-16-007969.txt
10-Q,"21st Century Oncology Holdings, Inc.",1503518,2/12/2016,edgar/data/1503518/0001104659-16-096509.txt
10-Q,"30DC, INC.",1118974,1/8/2016,edgar/data/1118974/0001065949-16-000318.txt
10-Q,"30DC, INC.",1118974,2/10/2016,edgar/data/1118974/0001065949-16-000341.txt
10-Q,"3D MAKERJET, INC.",1458023,3/15/2016,edgar/data/1458023/0001078782-16-002424.txt
10-Q,3Power Energy Group Inc.,1221554,2/16/2016,edgar/data/1221554/0001144204-16-082323.txt
10-Q,4NET SOFTWARE INC,812149,2/16/2016,edgar/data/812149/0001144204-16-081698.txt
10-Q,"5BARz International, Inc.",1454124,3/14/2016,edgar/data/1454124/0001017386-16-000375.txt
10-Q,5V Inc.,1504876,2/22/2016,edgar/data/1504876/0001213900-16-011149.txt
10-Q,8X8 INC /DE/,1023731,2/1/2016,edgar/data/1023731/0001136261-16-000381.txt
10-Q,A&C United Agriculture Developing Inc.,1539778,2/10/2016,edgar/data/1539778/0001477932-16-008511.txt
10-Q,"A-Mark Precious Metals, Inc.",1591588,2/11/2016,edgar/data/1591588/0001591588-16-000122.txt
10-Q,AAR CORP,1750,3/23/2016,edgar/data/1750/0001104659-16-107128.txt
10-Q,ABAXIS INC,881890,2/9/2016,edgar/data/881890/0001140361-16-051098.txt
10-Q,ABIOMED INC,815094,2/5/2016,edgar/data/815094/0001564590-16-012405.txt
10-Q,ABM INDUSTRIES INC /DE/,771497,3/9/2016,edgar/data/771497/0001628280-16-012475.txt
10-Q,ACCURAY INC,1138723,2/1/2016,edgar/data/1138723/0001104659-16-092618.txt
10-Q,ACETO CORP,2034,2/5/2016,edgar/data/2034/0001571049-16-011512.txt
10-Q,"ACTIVECARE, INC.",1429896,2/25/2016,edgar/data/1429896/0001096906-16-001416.txt
10-Q,ACTUANT CORP,6955,1/8/2016,edgar/data/6955/0000006955-16-000051.txt
10-Q,ACUITY BRANDS INC,1144215,1/8/2016,edgar/data/1144215/0001144215-16-000168.txt
10-Q,ACXIOM CORP,733269,2/5/2016,edgar/data/733269/0000733269-16-000049.txt
10-Q,ADDENTAX GROUP CORP.,1650101,1/28/2016,edgar/data/1650101/0001650101-16-000005.txt
