Form Type,Company Name,CIK,Date Filed,File Name
10-Q,1 800 FLOWERS COM INC,1084869,5/6/2016,edgar/data/1084869/0001437749-16-031049.txt
10-Q,1347 Capital Corp,1606163,5/9/2016,edgar/data/1606163/0001144204-16-099889.txt
10-Q,"1347 Property Insurance Holdings, Inc.",1591890,5/12/2016,edgar/data/1591890/0001387131-16-005435.txt
10-Q,1847 Holdings LLC,1599407,5/16/2016,edgar/data/1599407/0001477932-16-010398.txt
10-Q,1ST CONSTITUTION BANCORP,1141807,5/11/2016,edgar/data/1141807/0001141807-16-000016.txt
10-Q,1ST SOURCE CORP,34782,4/21/2016,edgar/data/34782/0000034782-16-000131.txt
10-Q,"1st Century Bancshares, Inc.",1420525,5/5/2016,edgar/data/1420525/0001437749-16-030976.txt
10-Q,1st FRANKLIN FINANCIAL CORP,38723,5/13/2016,edgar/data/38723/0001376474-16-000720.txt
10-Q,"2050 MOTORS, INC.",867028,5/23/2016,edgar/data/867028/0001493152-16-010168.txt
10-Q,"22nd Century Group, Inc.",1347858,5/10/2016,edgar/data/1347858/0001144204-16-100417.txt
10-Q,"2U, Inc.",1459417,5/5/2016,edgar/data/1459417/0001104659-16-118289.txt
10-Q,"30DC, INC.",1118974,5/16/2016,edgar/data/1118974/0001065949-16-000401.txt
10-Q,3D SYSTEMS CORP,910638,5/5/2016,edgar/data/910638/0000910638-16-000020.txt
10-Q,3DICON CORP,1375195,5/16/2016,edgar/data/1375195/0001144204-16-102782.txt
10-Q,3M CO,66740,5/3/2016,edgar/data/66740/0001558370-16-005213.txt
10-Q,"3PEA INTERNATIONAL, INC.",1496443,5/12/2016,edgar/data/1496443/0001019687-16-006227.txt
10-Q,5V Inc.,1504876,5/23/2016,edgar/data/1504876/0001213900-16-013730.txt
10-Q,8point3 Energy Partners LP,1635581,4/7/2016,edgar/data/1635581/0001564590-16-015944.txt
10-Q,8point3 Energy Partners LP,1635581,6/30/2016,edgar/data/1635581/0001564590-16-020971.txt
10-Q,99 CENTS ONLY STORES LLC,1011290,6/10/2016,edgar/data/1011290/0001104659-16-126587.txt
10-Q,A&C United Agriculture Developing Inc.,1539778,5/13/2016,edgar/data/1539778/0001477932-16-010269.txt
10-Q,"A-Mark Precious Metals, Inc.",1591588,5/11/2016,edgar/data/1591588/0001591588-16-000155.txt
10-Q,A. H. Belo Corp,1413898,5/2/2016,edgar/data/1413898/0001413898-16-000044.txt
10-Q,"A10 Networks, Inc.",1580808,5/5/2016,edgar/data/1580808/0001580808-16-000083.txt
10-Q,"AAC Holdings, Inc.",1606180,5/6/2016,edgar/data/1606180/0001564590-16-018317.txt
10-Q,AAON INC,824142,5/5/2016,edgar/data/824142/0000824142-16-000146.txt
10-Q,AARON'S INC,706688,5/6/2016,edgar/data/706688/0000706688-16-000296.txt
10-Q,AB INTERNATIONAL GROUP CORP.,1605331,4/14/2016,edgar/data/1605331/0001640334-16-000945.txt
10-Q,ABBOTT LABORATORIES,1800,5/4/2016,edgar/data/1800/0001104659-16-117710.txt
10-Q,"ABCO Energy, Inc.",1300938,5/20/2016,edgar/data/1300938/0001185185-16-004655.txt
10-Q,ABEONA THERAPEUTICS INC.,318306,5/16/2016,edgar/data/318306/0001144204-16-102610.txt
10-Q,ABERCROMBIE & FITCH CO /DE/,1018840,6/6/2016,edgar/data/1018840/0001018840-16-000092.txt
10-Q,ABM INDUSTRIES INC /DE/,771497,6/9/2016,edgar/data/771497/0001628280-16-017052.txt
10-Q,ABRAXAS PETROLEUM CORP,867665,5/10/2016,edgar/data/867665/0000867665-16-000120.txt
10-Q,"ABV CONSULTING, INC.",1607450,5/16/2016,edgar/data/1607450/0001213900-16-013358.txt
10-Q,ACACIA RESEARCH CORP,934549,5/9/2016,edgar/data/934549/0000934549-16-000114.txt
10-Q,ACADIA PHARMACEUTICALS INC,1070494,5/5/2016,edgar/data/1070494/0001564590-16-017989.txt
10-Q,ACADIA REALTY TRUST,899629,4/29/2016,edgar/data/899629/0000899629-16-000052.txt
10-Q,ACCELERON PHARMA INC,1280600,5/5/2016,edgar/data/1280600/0001280600-16-000082.txt
10-Q,ACCESS NATIONAL CORP,1176316,5/10/2016,edgar/data/1176316/0001144204-16-100449.txt
10-Q,ACCO BRANDS Corp,712034,4/27/2016,edgar/data/712034/0000712034-16-000080.txt
