Form Type,Company Name,CIK,Date Filed,File Name
10-Q,FIRST COMMUNITY BANCSHARES INC /NV/,859070,11/4/2016,edgar/data/859070/0001193125-16-760195.txt
10-Q,FIRST COMMUNITY CORP /SC/,932781,11/10/2016,edgar/data/932781/0001552781-16-002086.txt
10-Q,FIRST DATA CORP,883980,11/9/2016,edgar/data/883980/0001628280-16-021131.txt
10-Q,FIRST DEFIANCE FINANCIAL CORP,946647,11/7/2016,edgar/data/946647/0001144204-16-131946.txt
10-Q,FIRST EQUITY PROPERTIES INC,726516,11/14/2016,edgar/data/726516/0001010549-16-000786.txt
10-Q,FIRST FINANCIAL BANCORP /OH/,708955,11/8/2016,edgar/data/708955/0000708955-16-000153.txt
10-Q,FIRST FINANCIAL BANKSHARES INC,36029,10/25/2016,edgar/data/36029/0001193125-16-746599.txt
10-Q,FIRST FINANCIAL CORP /IN/,714562,11/4/2016,edgar/data/714562/0000714562-16-000127.txt
10-Q,FIRST HARTFORD CORP,36369,10/7/2016,edgar/data/36369/0001003297-16-000848.txt
10-Q,"FIRST HAWAIIAN, INC.",36377,11/10/2016,edgar/data/36377/0001558370-16-009908.txt
10-Q,FIRST HORIZON NATIONAL CORP,36966,11/7/2016,edgar/data/36966/0001193125-16-761647.txt
10-Q,FIRST INDUSTRIAL LP,1033128,10/28/2016,edgar/data/1033128/0000921825-16-000047.txt
10-Q,FIRST INDUSTRIAL REALTY TRUST INC,921825,10/28/2016,edgar/data/921825/0000921825-16-000047.txt
10-Q,FIRST INTERSTATE BANCSYSTEM INC,860413,11/8/2016,edgar/data/860413/0000860413-16-000061.txt
10-Q,FIRST KEYSTONE CORP,737875,11/8/2016,edgar/data/737875/0001144204-16-132412.txt
10-Q,FIRST MERCHANTS CORP,712534,11/9/2016,edgar/data/712534/0000712534-16-000549.txt
10-Q,FIRST MID ILLINOIS BANCSHARES INC,700565,11/9/2016,edgar/data/700565/0000700565-16-000193.txt
10-Q,FIRST MIDWEST BANCORP INC,702325,11/4/2016,edgar/data/702325/0000702325-16-000206.txt
10-Q,FIRST NATIONAL CORP /VA/,719402,11/14/2016,edgar/data/719402/0001193125-16-767400.txt
10-Q,FIRST NORTHERN COMMUNITY BANCORP,1114927,11/3/2016,edgar/data/1114927/0001140361-16-084606.txt
10-Q,FIRST OF LONG ISLAND CORP,740663,11/9/2016,edgar/data/740663/0001437749-16-041471.txt
10-Q,FIRST POTOMAC REALTY TRUST,1254595,10/28/2016,edgar/data/1254595/0001254595-16-000147.txt
10-Q,FIRST PRIORITY FINANCIAL CORP.,1389772,11/14/2016,edgar/data/1389772/0001564590-16-029132.txt
10-Q,FIRST RATE STAFFING Corp,1522215,11/21/2016,edgar/data/1522215/0001144204-16-135566.txt
10-Q,"FIRST SOLAR, INC.",1274494,11/3/2016,edgar/data/1274494/0001274494-16-000101.txt
10-Q,FIRST SOUTH BANCORP INC /VA/,1027183,11/10/2016,edgar/data/1027183/0001144204-16-133209.txt
10-Q,FIRST UNITED CORP/MD/,763907,11/7/2016,edgar/data/763907/0001144204-16-132103.txt
10-Q,FIRST US BANCSHARES INC,717806,11/9/2016,edgar/data/717806/0001437749-16-041505.txt
10-Q,"FIRSTCASH, INC",840489,11/9/2016,edgar/data/840489/0000840489-16-000221.txt
10-Q,FIRSTENERGY CORP,1031296,11/4/2016,edgar/data/1031296/0001031296-16-000121.txt
10-Q,FISERV INC,798354,10/27/2016,edgar/data/798354/0000798354-16-000022.txt
10-Q,FISION Corp,1487931,11/14/2016,edgar/data/1487931/0001477932-16-013542.txt
10-Q,FITBIT INC,1447599,11/4/2016,edgar/data/1447599/0001447599-16-000050.txt
10-Q,"FITLIFE BRANDS, INC.",1374328,11/14/2016,edgar/data/1374328/0001415889-16-007414.txt
10-Q,"FITWEISER HOLDINGS, INC.",1540334,11/10/2016,edgar/data/1540334/0001376474-16-000884.txt
10-Q,"FIVE BELOW, INC",1177609,12/2/2016,edgar/data/1177609/0001628280-16-021770.txt
10-Q,FIVE PRIME THERAPEUTICS INC,1175505,11/4/2016,edgar/data/1175505/0001564590-16-027494.txt
10-Q,"FIVE STAR QUALITY CARE, INC.",1159281,11/3/2016,edgar/data/1159281/0001159281-16-000020.txt
10-Q,FLAGSTAR BANCORP INC,1033012,11/7/2016,edgar/data/1033012/0001033012-16-000172.txt
10-Q,FLAMEL TECHNOLOGIES SA,1012477,11/14/2016,edgar/data/1012477/0001628280-16-021308.txt
10-Q,FLEETCOR TECHNOLOGIES INC,1175454,11/9/2016,edgar/data/1175454/0001175454-16-000015.txt
10-Q,FLEX LTD.,866374,10/31/2016,edgar/data/866374/0000866374-16-000007.txt
10-Q,FLEXIBLE SOLUTIONS INTERNATIONAL INC,1069394,11/14/2016,edgar/data/1069394/0001654954-16-003958.txt
10-Q,FLEXPOINT SENSOR SYSTEMS INC,925660,11/14/2016,edgar/data/925660/0001548123-16-000735.txt
10-Q,FLEXSTEEL INDUSTRIES INC,37472,10/25/2016,edgar/data/37472/0000897101-16-003162.txt
10-Q,FLIR SYSTEMS INC,354908,11/4/2016,edgar/data/354908/0000354908-16-000173.txt
10-Q,FLORIDA POWER & LIGHT CO,37634,11/1/2016,edgar/data/37634/0000753308-16-000444.txt
10-Q,FLOTEK INDUSTRIES INC/CN/,928054,11/2/2016,edgar/data/928054/0000928054-16-000152.txt
10-Q,FLOWERS FOODS INC,1128928,11/9/2016,edgar/data/1128928/0001564590-16-028712.txt
10-Q,FLOWSERVE CORP,30625,10/27/2016,edgar/data/30625/0000030625-16-000186.txt
10-Q,FLUIDIGM CORP,1162194,11/9/2016,edgar/data/1162194/0001162194-16-000248.txt
10-Q,FLUOR CORP,1124198,11/3/2016,edgar/data/1124198/0001104659-16-154586.txt
10-Q,"FLUOROPHARMA MEDICAL, INC.",1402785,11/14/2016,edgar/data/1402785/0001654954-16-003944.txt
10-Q,FLURIDA GROUP INC,1430960,11/14/2016,edgar/data/1430960/0001477932-16-013478.txt
10-Q,FLUSHING FINANCIAL CORP,923139,11/4/2016,edgar/data/923139/0001171843-16-012957.txt
10-Q,FMC CORP,37785,11/3/2016,edgar/data/37785/0000037785-16-000111.txt
10-Q,FMC TECHNOLOGIES INC,1135152,10/27/2016,edgar/data/1135152/0001135152-16-000070.txt
10-Q,FNB BANCORP/CA/,1163199,11/7/2016,edgar/data/1163199/0001019056-16-001620.txt
10-Q,FNB CORP/PA/,37808,11/7/2016,edgar/data/37808/0001193125-16-761240.txt
10-Q,"FNCB Bancorp, Inc.",1035976,11/4/2016,edgar/data/1035976/0001437749-16-041149.txt
10-Q,FOCUS UNIVERSAL INC.,1590418,11/14/2016,edgar/data/1590418/0001683168-16-000574.txt
10-Q,FONAR CORP,355019,11/9/2016,edgar/data/355019/0000355019-16-000063.txt
10-Q,"FOOT LOCKER, INC.",850209,12/7/2016,edgar/data/850209/0000850209-16-000009.txt
10-Q,"FOOTHILLS EXPLORATION, INC.",1503458,11/14/2016,edgar/data/1503458/0001615774-16-008297.txt
10-Q,FORD MOTOR CO,37996,10/27/2016,edgar/data/37996/0000037996-16-000158.txt
10-Q,FORD MOTOR CREDIT CO LLC,38009,10/27/2016,edgar/data/38009/0000038009-16-000392.txt
10-Q,FOREVERGREEN WORLDWIDE CORP,1091983,11/14/2016,edgar/data/1091983/0001548123-16-000733.txt
10-Q,FORM Holdings Corp.,1410428,11/9/2016,edgar/data/1410428/0001144204-16-132791.txt
10-Q,FORMFACTOR INC,1039399,11/3/2016,edgar/data/1039399/0001039399-16-000070.txt
10-Q,"FORRESTER RESEARCH, INC.",1023313,11/8/2016,edgar/data/1023313/0001564590-16-028306.txt
10-Q,FORTINET INC,1262039,11/8/2016,edgar/data/1262039/0001262039-16-000087.txt
10-Q,"FORUM ENERGY TECHNOLOGIES, INC.",1401257,11/2/2016,edgar/data/1401257/0001401257-16-000176.txt
10-Q,FORWARD AIR CORP,912728,10/26/2016,edgar/data/912728/0000912728-16-000319.txt
10-Q,FOSTER L B CO,352825,11/8/2016,edgar/data/352825/0001193125-16-762744.txt
10-Q,FOTV Media Networks Inc.,1656589,10/3/2016,edgar/data/1656589/0001193125-16-729382.txt
10-Q,FOUR OAKS FINCORP INC,1040799,11/14/2016,edgar/data/1040799/0001040799-16-000034.txt
10-Q,FOX FACTORY HOLDING CORP,1424929,11/2/2016,edgar/data/1424929/0001424929-16-000104.txt
10-Q,FRANKLIN ELECTRIC CO INC,38725,11/1/2016,edgar/data/38725/0000038725-16-000438.txt
10-Q,FRANKLIN FINANCIAL SERVICES CORP /PA/,723646,11/7/2016,edgar/data/723646/0000723646-16-000076.txt
10-Q,FRANKLIN STREET PROPERTIES CORP /MA/,1031316,10/25/2016,edgar/data/1031316/0001558370-16-008711.txt
10-Q,FRANKLIN WIRELESS CORP,722572,11/14/2016,edgar/data/722572/0001683168-16-000629.txt
10-Q,FREDS INC,724571,12/8/2016,edgar/data/724571/0001615774-16-008795.txt
10-Q,FREEPORT-MCMORAN INC,831259,11/9/2016,edgar/data/831259/0000831259-16-000105.txt
10-Q,"FREESTONE RESOURCES, INC.",1089319,11/14/2016,edgar/data/1089319/0001121781-16-000563.txt
10-Q,FREQUENCY ELECTRONICS INC,39020,12/15/2016,edgar/data/39020/0001185185-16-005961.txt
10-Q,FRESH DEL MONTE PRODUCE INC,1047340,11/1/2016,edgar/data/1047340/0001047340-16-000646.txt
10-Q,"FRESH MEDICAL LABORATORIES, INC.",1541884,11/14/2016,edgar/data/1541884/0001078782-16-003778.txt
10-Q,FRIEDMAN INDUSTRIES INC,39092,11/14/2016,edgar/data/39092/0001437749-16-041998.txt
10-Q,FRONTERA GROUP INC.,1602813,12/13/2016,edgar/data/1602813/0001549727-16-000170.txt
10-Q,FRONTIER COMMUNICATIONS CORP,20520,11/3/2016,edgar/data/20520/0000020520-16-000115.txt
10-Q,FRONTIER OILFIELD SERVICES INC,1108645,11/15/2016,edgar/data/1108645/0001387131-16-008013.txt
10-Q,"FS Bancorp, Inc.",1530249,11/9/2016,edgar/data/1530249/0000939057-16-001085.txt
10-Q,FS Energy & Power Fund,1501729,11/10/2016,edgar/data/1501729/0001047469-16-016617.txt
10-Q,FS Energy & Power Fund II,1599750,11/10/2016,edgar/data/1599750/0001047469-16-016644.txt
10-Q,FS Investment CORP,1422183,11/9/2016,edgar/data/1422183/0001193125-16-764398.txt
10-Q,FS Investment Corp II,1525759,11/10/2016,edgar/data/1525759/0001193125-16-766006.txt
